iter	Logloss
259	0.01798476778
260	0.01794532355
261	0.01787081985
262	0.01782629578
263	0.01774478074
264	0.01765060248
265	0.01760844952
266	0.01750728517
267	0.01739601974
268	0.01726168161
269	0.01717817402
270	0.01705228972
271	0.01695182476
272	0.01691497119
273	0.01684913305
274	0.01682806075
275	0.0168173323
276	0.01681044288
277	0.01677205423
278	0.01673490592
279	0.01661346391
280	0.01653786849
281	0.01643619109
282	0.01641539406
283	0.01641130307
284	0.01638651347
285	0.01635947573
286	0.01628928313
287	0.01628576362
288	0.01616890882
289	0.01607632622
290	0.01603508032
291	0.01600325552
292	0.0159778456
293	0.01596621621
294	0.0158974844
295	0.01584311476
296	0.01578074899
297	0.01573711538
298	0.01565879816
299	0.0156300814
300	0.01560190485
301	0.01558719061
302	0.01556214118
303	0.01556106745
304	0.0155125118
305	0.01547572451
306	0.01544941028
307	0.01542610792
308	0.01539343982
309	0.01531637451
310	0.01525316088
311	0.01523677272
312	0.01520759601
313	0.01510554254
314	0.01503150396
315	0.01499546576
316	0.01491227258
317	0.01490391212
318	0.01484810113
319	0.0148194721
320	0.0148044087
321	0.01477685848
322	0.01475533799
323	0.0147368807
324	0.0147359948
325	0.01464513625
326	0.01464223878
327	0.01457714916
328	0.01450699656
329	0.01448626265
330	0.01441594906
331	0.0143496067
332	0.01431451025
333	0.01429523392
334	0.0142589543
335	0.01424828532
336	0.01416584344
337	0.0141390629
338	0.01411508018
339	0.01411429044
340	0.01407557875
341	0.01403549621
342	0.01403236384
343	0.01403128153
344	0.01402180725
